@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,24,T1,V,6,2,147,yes
1,0,53,179,4,175,10,0.054,24,T1,V,6,2,147,yes
1,0,53,179,4,175,10,0.054,24,T1,V,6,2,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,1,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,1,147,yes
1,0,53,179,4,175,10,0.054,1500,T1,V,230,947,147,yes
1,0,53,179,4,175,10,0.054,8,T1,V,1,7,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,8,T1,V,2,0,147,yes
1,0,53,179,4,175,10,0.054,8,T1,V,2,0,147,yes
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,12,T1,V,3,2,147,yes
1,0,53,179,4,175,10,0.054,12,T1,V,3,2,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,1,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,1,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,1,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,1,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,1,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,1,147,yes
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,0,T1,V,0,0,147,no
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,4,T1,V,1,0,147,yes
1,0,53,179,4,175,10,0.054,24,T3,V,4,6,147,yes
1,0,53,179,4,175,10,0.054,20,T3,V,3,6,147,yes
1,0,53,179,4,175,10,0.054,328,T3,V,53,119,147,yes
1,0,53,179,4,175,10,0.054,328,T3,V,53,119,147,yes
1,0,53,179,4,175,10,0.054,4704,T3,V,474,1712,147,yes
1,0,53,179,4,175,10,0.054,4704,T3,V,474,1712,147,yes
1,0,53,179,4,175,10,0.054,20,T3,V,5,7,147,no
1,0,53,179,4,175,10,0.054,20,T3,V,5,7,147,no
1,0,53,179,4,175,10,0.054,15244,T3,V,661,1992,147,yes
1,0,53,179,4,175,10,0.054,15244,T3,V,661,1992,147,yes
1,0,53,179,4,175,10,0.054,36,T3,V,9,12,147,no
1,0,53,179,4,175,10,0.054,28,T3,V,9,12,147,yes
1,0,53,179,4,175,10,0.054,20248,T3,V,687,2025,147,yes
1,0,53,179,4,175,10,0.054,20372,T6,V,711,2045,147,yes
1,0,53,179,4,175,10,0.054,19968,T6,V,672,2008,147,yes
1,0,53,179,4,175,10,0.054,19968,T6,V,672,2008,147,yes
1,0,53,179,4,175,10,0.054,20,T6,V,3,6,147,yes
1,0,53,179,4,175,10,0.054,404,T6,V,49,111,147,yes
1,0,53,179,4,175,10,0.054,24,T6,V,6,2,147,no
1,0,53,179,4,175,10,0.054,20344,T6,V,705,2043,147,yes
1,0,53,179,4,175,10,0.054,20344,T6,V,705,2043,147,yes
1,0,53,179,4,175,10,0.054,20344,T6,V,705,2043,147,yes
1,0,53,179,4,175,10,0.054,1512,T6,V,232,955,147,yes
1,0,53,179,4,175,10,0.054,1512,T6,V,232,955,147,yes
1,0,53,179,4,175,10,0.054,1508,T6,V,231,954,147,yes
1,0,53,179,4,175,10,0.054,1508,T6,V,231,954,147,yes
1,0,53,179,4,175,10,0.054,18832,T6,V,701,2039,147,yes
1,0,53,179,4,175,10,0.054,456,T6,V,53,356,147,no
1,0,53,179,4,175,10,0.054,456,T6,V,53,356,147,yes
1,0,53,179,4,175,10,0.054,452,T6,V,52,356,147,yes
1,0,53,179,4,175,10,0.054,444,T6,V,50,356,147,yes
